[33] Packet 1011/15   | Mod: CMD_CHAT_MODULE                | Sub: REQ_GET_VOICE_ROOM_INVITE_INFO      |  | pid=10615183
[34] Packet 2065/1    | Mod: CMD_RUNE_MODULE                | Sub: SUBCMD_RUNE_GET_DATA                | dict keys(4): ['reforgeAttr', 'mapPage', 'pageIdx', 'mapRune'] | pid=10615183
[35] Packet 1011/9    | Mod: CMD_CHAT_MODULE                | Sub: REQ_INIT_SHIELD_DATA_AND_CHAT_STATUS | dict keys(3): ['shieldList', 'chatStatusType', 'shieldData'] | pid=10615183
[36] Packet 1011/1    | Mod: CMD_CHAT_MODULE                | Sub: REQ_INIT_NEWLY_CHATDATA             | dict keys(10): ['arenaSurpise', 'kingDom', 'initSetData', 'camp', 'version', 'alliance', 'arena', 'allianceSurpise'] | pid=10615183
[37] Packet 2089/1    | Mod: CMD_TEAM_MODULE                | Sub: REQ_TEAM_INIT_DATA                  | dict keys(1): ['areaEnum'] | pid=10615183
[38] Packet 3103/5    | Mod: CMD_DRILL_BATTLE               | Sub: SUBCMD_DRILL_BATTLE_DATA            | dict keys(9): ['dailyWinNum', 'score', 'kingdoms', 'winNum', 'lineUpData', 'fightNum', 'begintime', 'topData'] | pid=10615183
[39] Packet 2069/1    | Mod: CMD_CONQUER_MODULE             | Sub: SUBCMD_CONQUER_DATA                 | dict keys(3): ['uid', 'owner', 'slaves'] | pid=10615183
[40] Packet 3111/2    | Mod: CMD_EASTER_EGGS                | Sub: SUBCMD_EE_APPLY_PLOT                |  | pid=10615183
[41] Packet 2089/1    | Mod: CMD_TEAM_MODULE                | Sub: REQ_TEAM_INIT_DATA                  | dict keys(1): ['areaEnum'] | pid=10615183
[42] Packet 3133/8    | Mod: CMD_ANA_STAR                   | Sub: REQ_COLLECT_RES                     | dict keys(4): ['member', 'alliance', 'enemys', 'baseData'] | aid=1041418, mapId=259, pid=10615183
[43] Packet 1056/1    | Mod: CMD_SETTING_MODULE             | Sub: REQ_SET_CLIENT_LANGUAGE             |  | pid=10615183, time=1787842196
[44] Packet 3110/1    | Mod: CMD_RACE_TIME                  | Sub: SUBCMD_RACE_TIME_DATA               | dict keys(3): ['activityData', 'questData', 'raceData'] | pid=10615183
[45] Packet 6010/4    | Mod: CMD_TWO_CITY_WAR               | Sub: REQ_BUILD_DEMOLISH                  | dict keys(1): ['isKid'] | pid=10615183
[46] Packet 3101/1    | Mod: CMD_FAMOUS_CITY                | Sub: SUBCMD_FAMOUS_CITY_INIT_DATA        | dict keys(3): ['applyList', 'activity', 'famousCity'] | pid=10615183
[47] Packet 1010/81   | Mod: CMD_ALLIANCE_MODULE            | Sub: REQ_ALLIANCE_DONATE_SYN_DATA        | dict keys(2): ['uid', 'retdata'] | castleLevel=60, pid=10615183
[48] Packet 1009/3    | Mod: CMD_NOTIFY_MODULE              | Sub: NOTIFY_ALLIANCE_UPDATE              | dict keys(2): ['notifyID', 'notifyData'] | 
[49] Packet 1037/1    | Mod: CMD_HEARTBEAT_MODULE           | Sub: REQ_HEARTBEAT                       | dict keys(1): ['time'] | pid=10615183, time=1787842210
[50] Packet 1009/19   | Mod: CMD_NOTIFY_MODULE              | Sub: NOTIFY_SERVER_TIME                  | dict keys(2): ['notifyID', 'notifyData'] | 
[51] Packet 1037/1    | Mod: CMD_HEARTBEAT_MODULE           | Sub: REQ_HEARTBEAT                       | dict keys(1): ['time'] | pid=10615183, time=1787842226
[52] Packet 1037/1    | Mod: CMD_HEARTBEAT_MODULE           | Sub: REQ_HEARTBEAT                       | dict keys(1): ['time'] | pid=10615183, time=1787842241
[53] Packet 2058/21   | Mod: CMD_HERO_MODULE                | Sub: REQ_HERO_HANDBOOK_INFO              | dict keys(2): ['mapBook', 'quests'] | pid=10615183, time=1787842254
[54] Packet 1037/1    | Mod: CMD_HEARTBEAT_MODULE           | Sub: REQ_HEARTBEAT                       | dict keys(1): ['time'] | pid=10615183
